Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A716829,Poe,11/25/2015 04:08:00 PM,11/25/2015 04:08:00 PM,5Th And Baylor in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Manchester Terrier/Australian Kelpie,Tricolor
A702085,Donut,05/09/2015 10:07:00 AM,05/09/2015 10:07:00 AM,1700 Barton Hills in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Cairn Terrier Mix,Tan/Tan
A709445,*Jelly,08/09/2015 12:11:00 PM,08/09/2015 12:11:00 PM,2010 Northridge in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Cardigan Welsh Corgi,Tricolor
A785541,Gypsy,12/04/2018 04:44:00 PM,12/04/2018 04:44:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A813101,Leonardo,02/04/2020 11:47:00 AM,02/04/2020 11:47:00 AM,Travis (TX),Owner Surrender,Normal,Other,Intact Male,5 years,Tortoise,Brown/Tan
A700109,*Greyson,04/08/2015 12:42:00 PM,04/08/2015 12:42:00 PM,1040 Springdale Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Rat Terrier/Chihuahua Shorthair,Black/White
A764840,Lacey,01/07/2018 12:13:00 PM,01/07/2018 12:13:00 PM,9409 Quail Meadow Dr in Austin (TX),Stray,Injured,Dog,Intact Female,2 months,Chihuahua Longhair Mix,Brown/White
A688431,Jaxson,09/19/2014 12:41:00 PM,09/19/2014 12:41:00 PM,Derby Day in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Yellow
A771373,Axl,05/04/2018 07:54:00 AM,05/04/2018 07:54:00 AM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Tan
A758180,*Trigger,09/12/2017 01:45:00 PM,09/12/2017 01:45:00 PM,4708 Reyes Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Yellow
A680380,,06/02/2014 11:25:00 AM,06/02/2014 11:25:00 AM,6603 N Ih 35 #114 in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
